                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2385,                  3.842,                  1.101,                 0.0786,                0.11215,                0.04977,                0.03368,                 1.2716,                 3.6984,                0.92111,             0.00013336,             0.00013336,             0.00013336
                      2,                0.99303,                 2.9074,                0.93817,                 0.2245,                0.34424,                0.37126,                  0.286,                 1.0065,                 3.1528,                0.87084,             0.00027778,             0.00027778,             0.00027778
                      3,                0.92316,                 2.0044,                0.89005,                0.99821,                0.34706,                 0.4101,                0.31379,                  0.914,                 2.5077,                0.88513,             0.00041626,             0.00041626,             0.00041626
                      4,                0.94365,                 1.5205,                0.86955,                      1,                0.34181,                 0.4494,                0.35121,                0.95541,                 2.1224,                0.88157,             0.00054879,             0.00054879,             0.00054879
                      5,                0.93922,                 1.2811,                0.85689,                0.99783,                0.35749,                0.44576,                0.33603,                  1.242,                 2.2355,                0.91069,             0.00067539,             0.00067539,             0.00067539
                      6,                 0.9519,                 1.2051,                0.85648,                0.47148,                0.41402,                0.44354,                0.33778,                 1.2984,                 1.9914,                0.89692,             0.00079604,             0.00079604,             0.00079604
                      7,                0.95119,                 1.0824,                0.85198,                0.97865,                0.42773,                0.45003,                0.34979,                 1.3159,                 2.0007,                0.87864,             0.00091076,             0.00091076,             0.00091076
                      8,                 0.8775,                0.93107,                0.85303,                0.98531,                0.43084,                0.47137,                 0.3979,                 1.1222,                 1.6964,                0.86707,              0.0010195,              0.0010195,              0.0010195
                      9,                 0.8298,                0.92057,                0.84391,                0.99857,                0.43325,                0.50768,                0.42026,                 1.0685,                 1.5107,                0.85509,              0.0011224,              0.0011224,              0.0011224
                     10,                0.82197,                0.80583,                0.84684,                 0.5507,                0.63856,                0.64042,                 0.4709,                 1.0653,                 1.2097,                0.86167,              0.0012192,              0.0012192,              0.0012192
                     11,                 0.8599,                0.80314,                 0.8507,                0.78729,                 0.6302,                0.68817,                0.50482,                 1.0254,                 1.0288,                0.85782,              0.0013102,              0.0013102,              0.0013102
                     12,                0.83113,                0.72907,                0.84626,                0.91146,                0.62646,                0.70763,                 0.5002,                0.99772,                0.79386,                0.84923,              0.0013039,              0.0013039,              0.0013039
                     13,                 0.7964,                0.68829,                0.84502,                0.92005,                0.64117,                0.73201,                0.53012,                0.90267,                0.74857,                0.83584,              0.0012709,              0.0012709,              0.0012709
                     14,                0.77904,                0.64274,                0.84239,                0.91937,                0.64508,                0.73469,                0.52845,                0.92499,                0.72442,                0.84203,              0.0012379,              0.0012379,              0.0012379
                     15,                0.75707,                0.60222,                0.84437,                0.87321,                0.66178,                0.74223,                0.54193,                0.90272,                0.75053,                0.83837,              0.0012049,              0.0012049,              0.0012049
                     16,                0.75325,                0.59162,                0.84049,                0.91704,                0.63699,                0.74295,                0.54055,                0.83966,                0.66929,                0.83699,              0.0011719,              0.0011719,              0.0011719
                     17,                0.78543,                0.57302,                0.84333,                 0.9713,                0.62143,                0.74058,                0.53952,                0.81522,                0.63035,                0.83143,              0.0011389,              0.0011389,              0.0011389
                     18,                0.77967,                0.58345,                0.84038,                0.92594,                0.65918,                0.74008,                0.54556,                0.82334,                0.57242,                 0.8366,              0.0011059,              0.0011059,              0.0011059
                     19,                0.72872,                0.53864,                0.83987,                0.91797,                0.66466,                0.73754,                0.54367,                 0.8048,                0.55825,                0.83381,              0.0010729,              0.0010729,              0.0010729
                     20,                0.74771,                0.52746,                0.84022,                0.95528,                0.64587,                0.73941,                0.55013,                0.79021,                 0.6035,                 0.8325,              0.0010399,              0.0010399,              0.0010399
                     21,                0.72341,                0.49733,                0.83752,                0.96823,                0.62651,                0.73595,                0.56074,                0.78177,                0.64194,                0.83019,              0.0010069,              0.0010069,              0.0010069
                     22,                0.69661,                0.48592,                0.83417,                0.94624,                0.62811,                0.73351,                0.55711,                0.76984,                0.61962,                0.83004,             0.00097386,             0.00097386,             0.00097386
